Colorado St.,117.7,110.7,58.0,53.8,19.2,15.4,32.0,29.2,36.3,33.4,-3.9
UC Irvine,104.5,98.5,48.5,44.4,17.7,17.9,30.2,31.7,38.6,28.8,-3.5
Murray St.,118.0,111.5,54.9,50.6,16.2,16.0,34.4,31.9,39.2,32.4,-2.3
Pacific,112.4,106.3,53.3,49.5,20.5,15.8,36.1,24.7,33.1,38.2,-3.8
Seattle,102.0,96.7,49.8,48.2,17.2,21.8,24.8,33.5,32.7,33.6,-3.8
Cal Baptist,109.0,103.4,48.9,46.9,18.4,16.5,38.8,26.9,38.2,37.7,-1.8
UC Santa Barbara,115.5,110.1,56.2,53.7,18.4,18.3,31.8,26.2,36.6,43.5,-3.9
Washington St.,115.5,110.3,55.6,53.0,18.7,14.8,30.5,26.5,32.6,34.8,-6.9
Hofstra,114.7,109.6,51.7,47.7,16.8,14.9,35.2,32.3,31.4,36.0,-4.7
North Dakota St.,112.9,107.9,52.9,52.2,16.1,19.8,35.0,28.8,30.4,29.1,-2.4
Duquesne,111.7,106.8,54.5,51.2,18.6,17.2,29.8,28.2,39.2,41.7,-5.5
Illinois Chicago,109.6,104.8,48.2,49.2,18.3,20.0,37.5,34.7,38.6,36.0,-5.6
Saint Joseph's,107.6,103.0,48.7,48.8,17.2,15.7,32.0,31.5,31.8,27.5,-3.5
St. Thomas,112.8,108.4,58.7,52.0,14.7,18.4,22.1,28.2,35.8,31.2,-3.0
Penn St.,115.6,111.9,53.6,57.9,14.2,18.3,28.0,30.8,32.6,26.3,-4.4
UC San Diego,108.6,105.1,53.1,48.4,15.8,16.5,27.4,29.1,30.9,31.5,-4.5
UNLV,111.6,108.2,51.4,52.5,17.5,18.4,31.5,32.4,44.1,45.8,-5.2
Rhode Island,106.9,103.8,52.0,51.2,19.1,21.7,32.8,31.1,39.1,43.4,-4.5
Maryland,110.7,107.6,47.5,55.3,18.0,16.7,32.5,31.3,40.6,34.5,-3.5
Bowling Green,108.3,105.3,52.3,51.2,16.7,20.0,30.2,27.8,36.7,37.7,-5.9
UAB,110.3,107.3,48.6,50.0,12.7,16.3,33.4,26.6,37.6,31.3,-4.1
Oakland,115.7,112.6,52.3,54.0,14.4,14.9,31.0,34.0,40.3,23.5,-2.9
Boston College,103.0,100.3,46.8,46.5,15.4,15.2,28.7,29.5,35.7,33.6,-6.4
Georgia Tech,108.0,105.3,50.4,47.1,18.8,15.1,31.3,29.6,35.8,32.7,-5.0
Portland St.,103.7,101.2,52.3,47.3,18.6,18.8,31.3,28.5,35.7,46.1,-2.9
Middle Tennessee,108.0,105.4,50.8,49.7,17.5,14.5,29.7,28.8,29.7,35.2,-5.5
Troy,112.8,110.2,52.1,51.3,16.6,17.8,33.3,31.9,35.5,33.4,-4.2
William & Mary,110.1,107.5,54.4,50.8,17.6,19.7,26.4,32.6,39.1,35.3,-4.3
Montana,108.4,106.0,56.4,50.6,20.0,15.1,22.7,30.6,36.7,33.1,-5.7
Fresno St.,103.5,101.4,49.8,50.2,19.6,19.8,28.8,29.7,33.8,28.7,-5.9
Temple,112.5,110.2,50.7,50.3,14.0,16.1,30.0,31.4,43.8,32.1,-4.3
Kent St.,109.9,107.8,52.1,52.4,19.5,15.9,36.8,29.0,44.9,38.0,-2.3
Mercer,114.3,112.2,53.9,52.6,15.6,17.3,34.0,33.8,36.6,28.3,-3.8
Montana St.,110.0,108.1,52.6,51.6,15.8,16.0,29.2,29.4,29.5,32.1,-5.7
Valparaiso,106.8,104.9,46.1,49.4,15.7,17.3,32.1,30.7,39.7,39.0,-6.2
UNC Wilmington,110.8,108.9,50.6,47.5,15.1,15.0,36.0,26.6,45.1,28.2,-0.8
Southern Illinois,103.9,102.2,50.2,49.1,17.5,18.2,30.2,29.3,35.9,35.4,-7.9
Bradley,111.2,109.4,50.6,52.7,13.4,20.0,27.7,28.5,36.4,37.9,-4.1
UT Rio Grande Valley,107.6,106.1,53.4,48.6,18.2,17.3,27.6,32.1,27.3,37.7,-6.7
Rutgers,109.9,108.4,46.3,52.4,15.6,17.3,32.9,34.0,37.8,31.3,-4.2
Austin Peay,106.1,104.9,50.6,50.9,15.7,19.8,29.2,29.7,36.1,32.7,-3.0
East Tennessee St.,110.3,109.2,55.4,50.4,14.9,19.4,29.3,28.0,34.4,35.2,-4.4
Charlotte,114.4,113.2,53.9,51.1,18.1,14.9,36.1,32.0,40.9,40.4,-5.3
Toledo,113.3,112.3,52.8,55.7,15.8,18.9,30.8,35.5,34.0,26.9,-5.7
Massachusetts,108.4,107.6,52.4,51.6,18.3,17.7,32.9,25.8,38.7,45.9,-6.3
Idaho,109.7,108.8,52.1,51.7,15.3,15.9,27.9,26.7,38.0,39.7,-5.7
Marist,100.5,99.8,50.2,44.5,17.1,20.3,27.4,27.5,26.9,39.3,-4.8
Winthrop,112.6,111.9,50.6,51.7,14.4,17.1,34.9,29.0,42.6,38.2,-3.7
Kennesaw St.,109.6,109.0,49.9,47.6,17.4,15.6,36.9,30.7,45.9,47.2,-4.6
Missouri St.,109.4,108.8,50.6,51.2,17.6,18.0,32.3,33.6,45.4,39.8,-5.8
UT Arlington,102.2,102.0,48.3,46.8,21.3,18.4,35.6,28.7,42.6,44.3,-3.3
Richmond,110.6,110.6,53.1,51.5,15.1,17.4,27.5,30.7,37.8,31.0,-5.6
Marshall,109.9,109.8,54.0,47.8,17.7,16.8,33.6,32.4,29.2,40.7,-4.6
Cal St. Northridge,108.6,108.7,51.0,51.8,18.3,15.7,32.4,25.9,37.0,36.5,-6.0
FIU,108.5,108.7,50.8,52.7,17.1,20.3,32.7,36.4,40.3,35.4,-7.1
Central Arkansas,108.5,108.6,52.9,54.5,15.9,18.3,27.7,27.4,30.9,30.3,-5.6
North Texas,100.0,100.3,46.2,47.9,18.4,21.6,32.8,33.1,38.2,48.0,-5.5
Penn,108.9,109.3,50.9,52.5,16.1,16.3,31.1,30.9,36.6,28.2,-6.1
Northern Colorado,112.2,112.7,55.1,51.7,16.3,12.8,29.0,24.7,27.7,38.9,-6.4
UC Davis,109.9,110.4,53.3,52.7,18.2,18.7,26.5,30.7,41.9,40.1,-5.1
St. Bonaventure,112.5,113.1,52.4,54.3,16.3,18.2,34.6,30.2,29.8,33.0,-4.8
Arkansas St.,110.3,110.9,50.3,52.0,20.0,14.8,37.0,27.0,37.8,38.2,-5.9
Harvard,108.9,109.6,54.2,52.3,17.1,17.4,26.5,29.6,26.9,28.9,-5.4
Appalachian St.,104.8,105.5,50.2,46.4,15.6,14.6,30.6,29.6,34.7,33.2,-5.8
Fordham,104.2,105.1,49.1,48.8,17.5,15.5,36.8,26.0,22.3,26.5,-6.7
Columbia,109.7,110.7,54.1,50.6,19.4,14.2,36.9,27.1,30.7,32.7,-3.6
New Mexico St.,110.8,112.0,49.3,49.5,15.7,15.1,33.3,28.8,34.2,46.6,-7.8
Charleston,108.3,109.5,50.8,50.2,16.0,13.9,31.1,31.5,44.0,26.3,-4.1
San Diego,108.3,109.5,50.8,53.9,17.7,20.1,28.7,36.5,27.5,38.9,-8.4
Cornell,120.8,122.1,58.6,57.6,16.3,15.3,29.0,30.2,31.5,37.5,-6.3
Loyola Marymount,103.5,104.8,51.2,48.4,18.6,17.0,26.8,32.9,30.8,31.8,-7.4
Furman,107.2,108.6,55.0,49.7,18.3,14.1,31.6,29.0,31.5,26.5,-4.7
